USER|u5|Riya
USER|u6|Arjun
USER|u7|Eve
USER|u1|Alice
USER|u2|Bob
USER|u3|Carol
USER|u4|Dave
RATING|u5|b7|5.0
RATING|u5|m51|4.0
RATING|u5|b19|5.0
RATING|u5|b1|5.0
RATING|u6|b2|5.0
RATING|u6|b5|5.0
RATING|u6|b6|4.0
RATING|u6|m1|4.0
RATING|u6|b13|4.5
RATING|u6|b26|5.0
RATING|u6|m5|4.5
RATING|u6|m11|4.5
RATING|u6|b1|4.5
RATING|u7|m82|4.5
RATING|u7|m81|5.0
RATING|u7|m73|5.0
RATING|u7|m83|4.0
RATING|u7|m72|4.5
RATING|u7|m74|4.0
RATING|u7|m87|5.0
RATING|u7|m78|4.5
RATING|u1|m37|4.5
RATING|u1|m47|4.0
RATING|u1|m1|5.0
RATING|u1|m2|4.5
RATING|u1|m3|4.0
RATING|u1|m4|5.0
RATING|u1|m5|3.5
RATING|u1|m46|5.0
RATING|u2|b4|3.5
RATING|u2|m1|4.5
RATING|u2|m2|4.0
RATING|u2|m4|4.5
RATING|u2|m51|5.0
RATING|u2|m64|4.0
RATING|u2|m21|3.0
RATING|u2|b1|4.0
RATING|u3|b3|4.0
RATING|u3|b7|5.0
RATING|u3|b8|4.5
RATING|u3|m51|4.0
RATING|u3|m50|5.0
RATING|u3|m22|4.5
RATING|u3|m21|5.0
RATING|u3|m24|4.0
RATING|u4|m36|4.0
RATING|u4|b5|4.5
RATING|u4|m2|5.0
RATING|u4|m3|4.5
RATING|u4|m4|5.0
RATING|u4|m22|4.0
RATING|u4|m33|4.5
RATING|u4|m24|3.5
